,pl_name,hostname,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,has_two_min
31286,TOI-1601 b,TOI-1601,TIC 139375960,Gaia DR2 338382713564401920,1,1,0,TESS Project Candidate,0,5.33155,0.00052,-0.00052,0.0,,,,,14.61,0.794,-0.794,0.0,,,,,,,,,,,,,,,,,1593.0,,,,2.22,0.12,-0.12,0.0,,,,,3.78,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h33m26.78s,38.361569,+41d00m48.36s,41.0134321,336.608,8.389,-7.998,10.1035,0.0065,-0.0065,False
31288,TOI-163 b,TOI-163,TIC 179317684,Gaia DR2 4651366259202463104,1,1,0,Published Confirmed,0,4.231306,6.3e-05,-5.7e-05,0.0,0.058,0.0014,-0.0014,0.0,16.69,0.381,-0.381,0.0,1.489,0.034,-0.034,0.0,387.7526,38.1396,-38.1396,0.0,1.22,0.12,-0.12,0.0,0.0,,,0.0,1669.0,16.0,-14.0,0.0,1.65,0.02,-0.03,0.0,1.44,0.03,-0.03,0.0,4.19,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h19m04.38s,79.7682532,-71d53m43.90s,-71.89552690000001,411.719,8.163,-7.857,10.8719,0.006,-0.006,False
31290,TOI-1634 b,TOI-1634,TIC 201186294,Gaia DR2 223158499179138432,2,1,0,Published Confirmed,0,0.9893436,2e-06,-2e-06,0.0,0.0149,0.00016999999999999999,-0.00016999999999999999,0.0,1.749,0.079,-0.079,0.0,0.156,0.006999999999999999,-0.006999999999999999,0.0,10.14,0.95,-0.95,0.0,0.0319,0.00299,-0.00299,0.0,0.0,,,0.0,920.0,25.0,-25.0,0.0,0.45,0.02,-0.02,0.0,0.45,0.01,-0.01,0.0,4.79,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h45m33.75s,56.390609600000005,+37d06m44.21s,37.112280299999995,35.2736,0.0527,-0.0526,11.0136,0.0073056,-0.0073056,False
31293,TOI-1670 b,TOI-1670,TIC 441739020,Gaia DR2 1651911084230149248,1,2,0,Published Confirmed,0,10.98462,0.00046,-0.00051,0.0,0.103,0.002,-0.002,0.0,2.06,0.19,-0.15,0.0,0.184,0.017,-0.013000000000000001,0.0,41.31769,,,1.0,0.13,,,1.0,0.59,0.17,-0.26,0.0,1062.0,14.0,-13.0,0.0,1.32,0.02,-0.02,0.0,1.21,0.02,-0.02,0.0,4.29,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h16m04.14s,259.0172522,+72d09m40.25s,72.1611806,168.067,0.69,-0.684,9.4682,0.0061,-0.0061,False
31295,TOI-1685 b,TOI-1685,TIC 28900646,Gaia DR2 252366608956186240,1,1,0,TESS Project Candidate,0,0.669174,7.3e-05,-7.3e-05,0.0,,,,,1.469,2.623,-2.623,0.0,,,,,,,,,,,,,,,,,965.0,,,,0.46,0.01,-0.01,0.0,,,,,4.77,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h34m22.55s,68.5939529,+43d02m13.34s,43.0370395,37.6153,0.0728,-0.0725,11.1117,0.0072649,-0.0072649,False
31298,TOI-169 b,TOI-169,TIC 183120439,Gaia DR2 4684513614202233728,1,1,0,Published Confirmed,0,2.2554458,3.7e-06,-3.8e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.02,-0.02,0.0,1.15,0.07,-0.07,0.0,4.28,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h07m06.89s,16.778687899999998,-75d11m56.20s,-75.19894520000001,407.84,4.237,-4.152,11.788,0.006,-0.006,False
31300,TOI-1693 b,TOI-1693,TIC 353475866,Gaia DR2 3451908921382409472,1,1,0,Published Confirmed,0,1.7666957,5.4e-06,-5.4e-06,0.0,0.0226,0.0004,-0.0004,0.0,1.41,0.1,-0.1,0.0,0.126,0.009000000000000001,-0.009000000000000001,0.0,,,,,,,,,,,,,764.0,19.0,-19.0,0.0,0.46,0.01,-0.01,0.0,0.49,0.03,-0.03,0.0,4.8,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h01m14.00s,90.3083455,+34d46m23.13s,34.7730904,30.7947,0.0391,-0.0391,10.6714,0.007453399999999999,-0.007453399999999999,False
31301,TOI-1696 b,TOI-1696,TIC 470381900,Gaia DR2 270260649602149760,1,1,0,Published Confirmed,0,2.50031,2e-05,-2e-05,0.0,0.0235,0.0006,-0.0006,0.0,3.24,0.12,-0.12,0.0,0.289,0.011000000000000001,-0.011000000000000001,0.0,56.6,,,1.0,0.17808,,,1.0,0.0,,,0.0,533.0,7.0,-7.0,0.0,0.29,0.01,-0.01,0.0,0.27,0.02,-0.02,0.0,4.96,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h21m07.36s,65.280648,+48d49m11.39s,48.8198312,64.9172,0.3581,-0.3544,13.9664,0.0073007,-0.0073007,False
31302,TOI-1710 b,TOI-1710,TIC 445805961,Gaia DR2 1116613161053977472,1,1,0,Published Confirmed,0,24.283429,4.3e-05,-4.3e-05,0.0,0.16,0.04,-0.04,0.0,5.34,0.11,-0.11,0.0,0.47600000000000003,0.01,-0.01,0.0,28.3,4.7,-4.7,0.0,0.08904,0.014790000000000001,-0.014790000000000001,0.0,0.16,0.08,-0.08,0.0,,,,,0.97,0.02,-0.01,0.0,0.98,0.05,-0.06,0.0,4.46,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h17m08.12s,94.2838373,+76d12m39.67s,76.21101999999999,81.2271,0.1773,-0.1766,8.9134,0.006,-0.006,False
31303,TOI-172 b,TOI-172,TIC 29857954,Gaia DR2 6801474136516893184,1,1,0,TESS Project Candidate,0,9.476369,0.002479,-0.002479,0.0,,,,,10.915999999999999,0.9420000000000001,-0.9420000000000001,0.0,,,,,,,,,,,,,,,,,1142.0,,,,1.79,0.09,-0.09,0.0,,,,,4.32,2.0,-2.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h06m31.65s,316.6318791,-26d41m34.32s,-26.6928654,342.831,7.371,-7.071,10.7379,0.0061,-0.0061,False
31305,TOI-1728 b,TOI-1728,TIC 285048486,Gaia DR2 1094545653447816064,1,1,0,TESS Project Candidate,0,3.4915666,0.00014098,-0.00014098,0.0,,,,,4.699,0.36200000000000004,-0.36200000000000004,0.0,,,,,,,,,,,,,,,,,701.0,,,,0.63,0.02,-0.02,0.0,,,,,4.62,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m26.80s,120.6116787,+64d47m49.75s,64.7971531,60.798,0.13635,-0.13635,10.7921,0.0072453000000000005,-0.0072453000000000005,False
31308,TOI-1749 b,TOI-1749,TIC 233602827,Gaia DR2 2253774094189458432,1,3,0,Published Confirmed,0,2.38839,0.00031,-0.00066,0.0,0.0291,0.0005,-0.0005,0.0,1.39,0.21,-0.19,0.0,0.124,0.019,-0.017,0.0,57.0,,,1.0,0.17934,,,1.0,0.14,,,1.0,831.0,18.0,-18.0,0.0,0.55,0.03,-0.03,0.0,0.58,0.03,-0.03,0.0,4.7,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h50m56.93s,282.73722810000004,+64d25m10.08s,64.419466,99.5561,0.1172,-0.1172,12.2574,0.0072811,-0.0072811,False
31313,TOI-1759 b,TOI-1759,TIC 408636441,Gaia DR2 2216420110788943744,1,1,0,Published Confirmed,0,18.85019,0.00013,-0.00013,0.0,0.1177,0.0038,-0.0038,0.0,3.14,0.1,-0.1,0.0,0.28,0.009000000000000001,-0.009000000000000001,0.0,10.8,1.5,-1.5,0.0,0.03398,0.00472,-0.00472,0.0,0.0,,,0.0,443.0,7.0,-7.0,0.0,0.6,0.01,-0.01,0.0,0.61,0.02,-0.02,0.0,4.65,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m24.40s,326.85166150000003,+62d45m13.74s,62.7538164,40.0654,0.0423,-0.0423,9.92838,0.0073111999999999995,-0.0073111999999999995,False
31315,TOI-178 b,TOI-178,TIC 251848941,Gaia DR2 2318295979126499200,1,6,0,Published Confirmed,0,1.914558,1.8e-05,-1.8e-05,0.0,0.02607,0.00078,-0.00078,0.0,1.1520000000000001,0.073,-0.07,0.0,0.10300000000000001,0.006999999999999999,-0.006,0.0,1.5,0.39,-0.44,0.0,0.00472,0.00123,-0.0013800000000000002,0.0,,,,,1040.0,22.0,-21.0,0.0,0.65,0.01,-0.01,0.0,0.65,0.03,-0.03,0.0,4.45,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h29m12.48s,7.302011500000001,-30d27m14.82s,-30.454115899999998,62.699,0.2074,-0.2061,10.42,0.0061,-0.0061,False
31324,TOI-1789 b,TOI-1789,TIC 172518755,Gaia DR2 646125297938578944,1,1,0,Published Confirmed,0,3.208664,1.5e-05,-1.5e-05,0.0,0.04882,0.00063,-0.0016,0.0,16.141,2.69,-1.569,0.0,1.44,0.24,-0.14,0.0,222.47987999999998,50.85255,-50.85255,0.0,0.7,0.16,-0.16,0.0,,,,,1927.0,27.0,-17.0,0.0,2.17,0.04,-0.03,0.0,1.51,0.06,-0.14,0.0,3.94,0.02,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h30m58.42s,142.743406,+26d32m23.98s,26.5399951,229.067,2.388,-2.34,9.1824,0.0062,-0.0062,False
31326,TOI-1807 b,TOI-1807,TIC 180695581,Gaia DR2 1476485996883837184,1,1,0,TESS Project Candidate,0,0.54934287,4.291e-05,-4.291e-05,0.0,,,,,1.526,0.9440000000000001,-0.9440000000000001,0.0,,,,,,,,,,,,,,,,,1611.0,,,,0.74,0.05,-0.05,0.0,,,,,4.56,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m07.83s,201.2826259,+38d55m20.52s,38.9223671,42.5775,0.0622,-0.062,9.0363,0.006,-0.006,False
31328,TOI-1842 b,TOI-1842,TIC 404505029,Gaia DR2 3719927426253118848,1,1,0,TESS Project Candidate,0,19.14809511,0.00188887,-0.00188887,0.0,,,,,12.684000000000001,0.625,-0.625,0.0,,,,,,,,,,,,,,,,,1008.0,,,,2.05,0.09,-0.09,0.0,,,,,3.88,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h27m51.04s,201.9626552,+09d01m50.32s,9.030643699999999,223.465,2.26,-2.216,9.267330000000001,0.0061,-0.0061,False
31330,TOI-1860 b,TOI-1860,TIC 202426247,Gaia DR2 1620024491110370688,1,1,0,Published Confirmed,0,1.0662107,1.4e-06,-1.4e-06,0.0,0.0204,0.0002,-0.0002,0.0,1.31,0.04,-0.04,0.0,0.11699999999999999,0.004,-0.004,0.0,,,,,,,,,,,,,1885.0,28.0,-28.0,0.0,0.94,0.02,-0.02,0.0,0.99,0.03,-0.03,0.0,4.58,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m49.62s,226.45673080000003,+64d02m51.66s,64.0476821,45.864,0.0648,-0.0645,7.7885,0.006,-0.006,False
31331,TOI-1899 b,TOI-1899,TIC 172370679,Gaia DR2 2073530190996615424,1,1,0,TESS Project Candidate,0,,,,0.0,,,,,11.325,0.444,-0.444,0.0,,,,,,,,,,,,,,,,,368.0,,,,0.62,0.02,-0.02,0.0,,,,,4.64,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m42.44s,299.4268472,+40d08m36.05s,40.1433462,128.438,0.25,-0.25,12.5826,0.0073152,-0.0073152,False
31333,TOI-201 b,TOI-201,TIC 350618622,Gaia DR2 4767547667180525696,1,1,0,TESS Project Candidate,0,52.97824,5e-05,-5e-05,0.0,,,,,10.876,0.524,-0.524,0.0,,,,,,,,,,,,,,,,,466.0,,,,1.33,0.06,-0.06,0.0,,,,,4.35,0.16,-0.16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h49m36.43s,87.4017825,-54d54m37.52s,-54.910423,113.825,0.347,-0.345,8.5822,0.006,-0.006,False
31335,TOI-2046 b,TOI-2046,TIC 468574941,Gaia DR2 538759464958942208,1,1,0,Published Confirmed,0,1.4971842,3.1e-06,-3.3e-06,0.0,,,,,16.141,1.2329999999999999,-1.2329999999999999,0.0,1.44,0.11,-0.11,0.0,731.00534,88.99195,-88.99195,0.0,2.3,0.28,-0.28,0.0,,,,,,,,,1.21,0.07,-0.07,0.0,1.13,0.19,-0.19,0.0,4.3,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m44.39s,16.1849423,+74d19m52.70s,74.3313055,289.668,2.225,-2.191,10.996,0.0061,-0.0061,False
31336,TOI-206 b,TOI-206,TIC 55650590,Gaia DR2 4665277593852295424,1,1,0,Published Confirmed,0,0.7363104,3e-07,-3e-07,0.0,0.0112,0.0001,-0.0001,0.0,1.3,0.05,-0.05,0.0,0.11599999999999999,0.004,-0.004,0.0,,,,,,,,,,,,,910.0,36.0,-36.0,0.0,0.35,0.01,-0.01,0.0,0.35,0.01,-0.01,0.0,4.89,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m57.17s,73.7382202,-62d31m18.75s,-62.521874,47.7465,0.11,-0.1095,12.4312,0.0075286,-0.0075286,False
31337,TOI-2076 b,TOI-2076,TIC 27491137,Gaia DR2 1490845584382687232,1,3,0,Published Confirmed,0,10.35509,0.0002,-0.00014,0.0,0.0682,0.0013,-0.0013,0.0,2.5180000000000002,0.036000000000000004,-0.036000000000000004,0.0,0.225,0.003,-0.003,0.0,,,,,,,,,,,,,797.0,12.0,-12.0,0.0,0.77,0.01,-0.01,0.0,0.82,0.04,-0.04,0.0,4.45,0.12,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091,0.0528,-0.0526,8.3745,0.006,-0.006,False
31344,TOI-2109 b,TOI-2109,TIC 392476080,Gaia DR2 4558177980120149632,1,1,0,TESS Project Candidate,0,0.67249,2e-05,-2e-05,0.0,,,,,15.729000000000001,0.74,-0.74,0.0,,,,,,,,,,,,,,,,,3053.0,,,,1.7,0.07,-0.07,0.0,,,,,4.12,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m44.71s,253.1862971,+16d34m47.70s,16.579915300000003,262.041,2.753,-2.698,9.785689999999999,0.0061,-0.0061,False
31346,TOI-2136 b,TOI-2136,TIC 336128819,Gaia DR2 2096535783864546944,1,1,0,Published Confirmed,0,7.85191,4e-05,-4e-05,0.0,0.054,0.001,-0.001,0.0,2.09,0.08,-0.08,0.0,0.18600000000000003,0.006999999999999999,-0.006999999999999999,0.0,15.0,,,1.0,0.0472,,,1.0,0.0,,,0.0,403.0,5.0,-5.0,0.0,0.34,0.01,-0.01,0.0,0.34,0.02,-0.02,0.0,4.92,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m42.32s,281.17634330000004,+36d33m47.27s,36.563131799999994,33.3631,0.06425,-0.06425,11.7371,0.007376899999999999,-0.007376899999999999,False
31347,TOI-216.01,TOI-216,TIC 55652896,Gaia DR2 4664811297844004352,1,2,0,Published Confirmed,0,34.525528,,,0.0,,,,,10.1,0.2,-0.2,0.0,0.9009999999999999,0.018000000000000002,-0.018000000000000002,0.0,177.98391,6.35657,-6.35657,0.0,0.56,0.02,-0.02,0.0,0.0046,0.0027,-0.0012,0.0,,,,,0.75,0.01,-0.01,0.0,0.77,0.03,-0.03,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m55.20s,73.9800129,-63d15m37.19s,-63.2603301,177.945,0.883,-0.875,11.5748,0.006,-0.006,False
31353,TOI-2180 b,TOI-2180,TIC 298663873,Gaia DR2 2151078741786155008,1,1,0,TESS Project Candidate,0,,,,0.0,,,,,8.771,0.445,-0.445,0.0,,,,,,,,,,,,,,,,,491.0,,,,1.63,0.08,-0.08,0.0,,,,,4.03,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h31m46.47s,277.94363,+56d39m02.44s,56.650678899999996,116.685,0.267,-0.266,8.568539999999999,0.0061,-0.0061,False
31356,TOI-2184 b,TOI-2184,TIC 176956893,Gaia DR2 5280444557068991616,1,1,0,TESS Project Candidate,0,6.9067783,2.79e-05,-2.79e-05,0.0,,,,,9.365,0.532,-0.532,0.0,,,,,,,,,,,,,,,,,1491.0,,,,3.15,0.17,-0.17,0.0,,,,,3.65,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m19.95s,100.83312459999999,-66d56m51.56s,-66.94765629999999,788.317,13.414,-12.98,11.4057,0.006,-0.006,False
31358,TOI-220 b,TOI-220,TIC 150098860,Gaia DR2 5481210874877547904,1,1,0,TESS Project Candidate,0,10.695276,2.2e-05,-2.2e-05,0.0,,,,,2.665,0.14800000000000002,-0.14800000000000002,0.0,,,,,,,,,,,,,,,,,574.0,,,,0.88,0.05,-0.05,0.0,,,,,3.99,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h07m11.93s,91.7996988,-61d59m49.96s,-61.9972098,90.7402,0.1715,-0.1709,9.6878,0.006,-0.006,False
31360,TOI-2202 b,TOI-2202,TIC 358107516,Gaia DR2 4641274773980363520,1,2,0,Published Confirmed,0,11.9101,0.0022,-0.0036,0.0,0.09564,0.00156,-0.00161,0.0,11.321,5.851,-0.897,0.0,1.01,0.522,-0.08,0.0,310.83617999999996,20.02319,-18.68831,0.0,0.978,0.063,-0.0588,0.0,0.042,0.0255,-0.0075,0.0,,,,,0.79,0.01,-0.01,0.0,0.82,0.03,-0.02,0.0,4.55,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h24m54.82s,51.228421399999995,-73d57m27.16s,-73.9575458,235.933,1.051,-1.041,12.173,0.006,-0.006,False
31363,TOI-2257 b,TOI-2257,TIC 198485881,Gaia DR2 1716345832872291968,1,1,0,Published Confirmed,0,35.189346,9e-05,-9e-05,0.0,0.145,0.003,-0.003,0.0,2.194,0.113,-0.111,0.0,0.196,0.01,-0.01,0.0,,,,,,,,,0.496,0.216,-0.133,0.0,256.0,61.0,-17.0,0.0,0.31,0.01,-0.01,0.0,0.33,0.02,-0.02,0.0,4.97,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h58m57.51s,194.73961409999998,+77d39m42.18s,77.6617157,57.7911,0.1053,-0.1049,12.9672,0.0073679,-0.0073679,False
31365,TOI-2260 b,TOI-2260,TIC 232568235,Gaia DR2 1411414592353022848,1,1,0,Published Confirmed,0,0.3524728,4.7e-06,-4.7e-06,0.0,0.0097,0.0001,-0.0001,0.0,1.62,0.13,-0.13,0.0,0.145,0.012,-0.012,0.0,,,,,,,,,,,,,2609.0,86.0,-86.0,0.0,0.94,0.05,-0.05,0.0,0.99,0.04,-0.04,0.0,4.62,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m40.08s,247.6669998,+49d02m48.44s,49.0467891,101.251,0.284,-0.283,9.75874,0.0064,-0.0064,False
31366,TOI-2285 b,TOI-2285,TIC 329148988,Gaia DR2 2199658670194983040,1,1,0,Published Confirmed,0,27.26955,0.00013,-0.0001,0.0,0.1363,0.001,-0.001,0.0,1.74,0.08,-0.08,0.0,0.155,0.006999999999999999,-0.006999999999999999,0.0,19.5,,,1.0,0.06135,,,1.0,0.3,0.1,-0.09,0.0,284.0,6.0,-6.0,0.0,0.46,0.01,-0.01,0.0,0.45,0.01,-0.01,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h10m15.18s,332.5632644,+58d42m21.94s,58.7060934,42.409,0.047,-0.047,11.3078,0.0073081000000000005,-0.0073081000000000005,False
31368,TOI-2337 b,TOI-2337,TIC 230001847,Gaia DR2 2239684947894267392,1,1,0,Published Confirmed,0,2.99432,8e-05,-8e-05,0.0,,,,,10.088,1.121,-1.121,0.0,0.9,0.1,-0.1,0.0,508.52545,47.67426,-47.67426,0.0,1.6,0.15,-0.15,0.0,0.019,0.017,-0.017,0.0,,,,,3.22,0.06,-0.06,0.0,1.32,0.12,-0.12,0.0,3.5,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m28.77s,290.61989480000005,+60d51m14.05s,60.8539035,536.046,5.977,-5.85,11.2347,0.0067,-0.0067,False
31369,TOI-237 b,TOI-237,TIC 305048087,Gaia DR2 2329387852426700800,1,1,0,TESS Project Candidate,0,5.433729,0.001053,-0.001053,0.0,,,,,1.742,0.972,-0.972,0.0,,,,,,,,,,,,,,,,,344.0,,,,0.21,0.05,-0.05,0.0,,,,,5.05,0.55,-0.55,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m58.45s,353.2435381,-29d24m59.35s,-29.416487,38.0749,0.2292,-0.2265,13.4102,0.0074367999999999995,-0.0074367999999999995,False
31372,TOI-2406 b,TOI-2406,TIC 212957629,Gaia DR2 2528453161326406016,1,1,0,Published Confirmed,0,3.0766896,6.5e-06,-6.5e-06,0.0,0.0228,0.0016,-0.0016,0.0,2.94,0.17,-0.16,0.0,0.262,0.015,-0.013999999999999999,0.0,,,,,,,,,0.26,0.27,-0.12,0.0,447.0,15.0,-15.0,0.0,0.2,0.01,-0.01,0.0,0.16,0.01,-0.01,0.0,5.04,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h35m13.45s,8.8060544,-03d22m19.50s,-3.3720833,55.419,0.2536,-0.2512,14.3109,0.007448000000000001,-0.007448000000000001,False
31374,TOI-2411 b,TOI-2411,TIC 10837041,Gaia DR2 2471334872292716288,1,1,0,Published Confirmed,0,0.7826942,3.7e-06,-3.7e-06,0.0,0.0144,0.0001,-0.0001,0.0,1.68,0.11,-0.11,0.0,0.15,0.01,-0.01,0.0,,,,,,,,,,,,,1355.0,45.0,-45.0,0.0,0.68,0.02,-0.02,0.0,0.65,0.02,-0.02,0.0,4.59,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h23m41.39s,20.922456699999998,-08d42m06.46s,-8.7017944,59.5362,0.2878,-0.2852,10.4238,0.0061,-0.0061,False
31375,TOI-2427 b,TOI-2427,TIC 142937186,Gaia DR2 5055663973297050624,1,1,0,Published Confirmed,0,1.3060011,1.02e-05,-1.02e-05,0.0,0.0202,0.0002,-0.0002,0.0,1.8,0.12,-0.12,0.0,0.161,0.011000000000000001,-0.011000000000000001,0.0,,,,,,,,,,,,,1117.0,46.0,-46.0,0.0,0.65,0.02,-0.02,0.0,0.64,0.02,-0.02,0.0,4.62,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h29m10.02s,52.2917315,-31d21m46.32s,-31.3628665,28.5147,0.0278,-0.0278,9.0138,0.006,-0.006,False
